Spins: 8, Iterations: 100, Beta: 1.000000

Ei = -8 || Ef = -4 || R: 0.207405 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.567474 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.446080 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.308013 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.462970 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.565719 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.277848 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.473571 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.184999 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.942766 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.628664 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.361507 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.597030 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.474162 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.958107 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.627046 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.092859 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.517231 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.981134 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.551198 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.557674 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.263460 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.975613 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.716728 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.518582 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.703561 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.265070 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.387193 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.822240 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.265937 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.790987 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.945859 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.087503 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.422784 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.288335 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.512742 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.090899 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.681532 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.513232 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.227124 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.057753 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.179061 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.995752 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.184923 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.427609 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.598340 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.343843 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.102442 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.007289 || C: 0.018316 || Flip
Ei = -4 || Ef = 8 || R: 0.499984 || C: 0.000006 || No flip
Ei = -4 || Ef = -8 || Flip
Ei = -8 || Ef = -4 || R: 0.012725 || C: 0.018316 || Flip
Ei = -4 || Ef = 8 || R: 0.590107 || C: 0.000006 || No flip
Ei = -4 || Ef = -8 || Flip
Ei = -8 || Ef = -4 || R: 0.656620 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.221424 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.333973 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.814428 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.602001 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.079289 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.628173 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.237784 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.725494 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.770712 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.012973 || C: 0.018316 || Flip
Ei = -4 || Ef = -8 || Flip
Ei = -8 || Ef = -4 || R: 0.512957 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.852369 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.215258 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.314609 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.099096 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.259848 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.950742 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.797267 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.141026 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.543065 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.235620 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.165734 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.775456 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.232844 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.760334 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.956552 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.084470 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.798973 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.251398 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.338152 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.730351 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.333333 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.137025 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.144868 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.738048 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.206000 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.737895 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.435801 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.119095 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.116741 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.679491 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.152721 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.882214 || C: 0.018316 || No flip
Ei = -8 || Ef = -4 || R: 0.063689 || C: 0.018316 || No flip

Final energies:
-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-4,-4,-8,-4,-4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,
