Spins: 8, Iterations: 100, Beta: 10.000000

Ei = 8 || Ef = 28 || R: 0.149066 || C: 0.000000 || No flip
Ei = 8 || Ef = 28 || R: 0.874872 || C: 0.000000 || No flip
Ei = 8 || Ef = -4 || Flip
Ei = -4 || Ef = 8 || R: 0.541766 || C: 0.000000 || No flip
Ei = -4 || Ef = 8 || R: 0.674502 || C: 0.000000 || No flip
Ei = -4 || Ef = 8 || R: 0.324231 || C: 0.000000 || No flip
Ei = -4 || Ef = -8 || Flip
Ei = -8 || Ef = -4 || R: 0.531262 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.554777 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.314032 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.249456 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.728656 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.222140 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.551059 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.379231 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.804587 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.589749 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.894498 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.412838 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.006387 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.010366 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.263094 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.378924 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.337582 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.356955 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.308947 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.519936 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.183609 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.124204 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.940515 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.570340 || C: 0.000000 || No flip
Ei = -8 || Ef = -4 || R: 0.397304 || C: 0.000000 || No flip
