Spins: 16, Iterations: 100, Beta: 0.100000

Ei = 16 || Ef = 12 || Flip
Ei = 12 || Ef = 0 || Flip
Ei = 0 || Ef = 12 || R: 0.732777 || C: 0.301194 || No flip
Ei = 0 || Ef = -20 || Flip
Ei = -20 || Ef = 0 || R: 0.971521 || C: 0.135335 || No flip
Ei = -20 || Ef = -48 || Flip
Ei = -48 || Ef = -20 || R: 0.820151 || C: 0.060810 || No flip
Ei = -48 || Ef = -84 || Flip
Ei = -84 || Ef = -48 || R: 0.295317 || C: 0.027324 || No flip
Ei = -84 || Ef = -48 || R: 0.807402 || C: 0.027324 || No flip
Ei = -84 || Ef = -48 || R: 0.848582 || C: 0.027324 || No flip
Ei = -84 || Ef = -48 || R: 0.008758 || C: 0.027324 || Flip
Ei = -48 || Ef = -20 || R: 0.102271 || C: 0.060810 || No flip
Ei = -48 || Ef = -20 || R: 0.318611 || C: 0.060810 || No flip
Ei = -48 || Ef = -20 || R: 0.743260 || C: 0.060810 || No flip
Ei = -48 || Ef = -84 || Flip
Ei = -84 || Ef = -48 || R: 0.149645 || C: 0.027324 || No flip
Ei = -84 || Ef = -128 || Flip
Ei = -128 || Ef = -84 || R: 0.940802 || C: 0.012277 || No flip
Ei = -128 || Ef = -84 || R: 0.461355 || C: 0.012277 || No flip
Ei = -128 || Ef = -84 || R: 0.838583 || C: 0.012277 || No flip
Ei = -128 || Ef = -180 || Flip
Ei = -180 || Ef = -128 || R: 0.810104 || C: 0.005517 || No flip
Ei = -180 || Ef = -128 || R: 0.140013 || C: 0.005517 || No flip
Ei = -180 || Ef = -128 || R: 0.554774 || C: 0.005517 || No flip
Ei = -180 || Ef = -240 || Flip
Ei = -240 || Ef = -180 || R: 0.229991 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.371695 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.352381 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.056541 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.641781 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.486359 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.864864 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.534686 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.021058 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.924803 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.541330 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.680430 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.573490 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.387734 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.393702 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.129316 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.692455 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.702268 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.881465 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.499488 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.133960 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.908287 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.669875 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.817822 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.918460 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.173345 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.506012 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.707511 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.692704 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.283246 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.731639 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.710099 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.913572 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.468930 || C: 0.002479 || No flip
Ei = -240 || Ef = -180 || R: 0.171176 || C: 0.002479 || No flip
