Spins: 16, Iterations: 100, Beta: 1.000000

Ei = -48 || Ef = -84 || Flip
Ei = -84 || Ef = -48 || R: 0.059364 || C: 0.000000 || No flip
Ei = -84 || Ef = -128 || Flip
Ei = -128 || Ef = -84 || R: 0.185793 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.685191 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.626801 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.068826 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.834471 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.471387 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.491622 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.618320 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.600200 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.496304 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.188468 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.350787 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.347857 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.656082 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.299109 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.094131 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.029840 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.718421 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.790139 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.892252 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.261630 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.767841 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.099907 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.261644 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.301638 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.130142 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.044007 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.168997 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.720675 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.015043 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.343100 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.504686 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.888497 || C: 0.000000 || No flip
Ei = -128 || Ef = -84 || R: 0.029581 || C: 0.000000 || No flip
Ei = -128 || Ef = -180 || Flip
Ei = -180 || Ef = -128 || R: 0.921833 || C: 0.000000 || No flip
Ei = -180 || Ef = -128 || R: 0.271983 || C: 0.000000 || No flip
Ei = -180 || Ef = -128 || R: 0.071086 || C: 0.000000 || No flip
Ei = -180 || Ef = -240 || Flip
Ei = -240 || Ef = -180 || R: 0.457247 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.085486 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.044828 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.248991 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.696558 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.480699 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.243066 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.437016 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.604917 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.959106 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.164809 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.172048 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.910521 || C: 0.000000 || No flip
Ei = -240 || Ef = -180 || R: 0.447146 || C: 0.000000 || No flip
