trial number (-t),# of replicas (-r),# of spins (-n),# of threads (-g),runtime (in seconds)
1,36,4,1,0.025245
2,36,4,1,0.025201
3,36,4,1,0.025063
4,36,4,4,0.011755
5,36,4,4,0.011906
6,36,4,4,0.011758
7,36,8,1,0.070838
8,36,8,1,0.070483
9,36,8,1,0.069883
10,36,8,4,0.029610
11,36,8,4,0.029585
12,36,8,4,0.030651
13,36,16,1,0.275502
14,36,16,1,0.277225
15,36,16,1,0.275809
16,36,16,4,0.119718
17,36,16,4,0.116368
18,36,16,4,0.115501
19,36,32,1,1.288475
20,36,32,1,1.870369
21,36,32,1,1.282019
22,36,32,4,0.574704
23,36,32,4,0.594297
24,36,32,4,0.565630
25,36,64,1,7.315860
26,36,64,1,7.344927
27,36,64,1,7.350323
28,36,64,4,3.225140
29,36,64,4,3.286737
30,36,64,4,3.879425
31,36,128,1,47.329267
32,36,128,1,47.452619
33,36,128,1,48.055559
34,36,128,4,26.544447
35,36,128,4,26.785071
36,36,128,4,27.647489
37,36,256,1,351.892120
38,36,256,1,352.830774
39,36,256,1,355.556337
40,36,256,4,203.489104
41,36,256,4,198.855736
42,36,256,4,203.102931
43,36,512,1,2666.702967
44,36,512,1,2748.676382
45,36,512,1,2746.186468
46,36,512,4,1611.003033
47,36,512,4,1623.476433
48,36,512,4,1609.617436
