Spins: 4, Iterations: 100, Beta: 1.000000

Ei = 0 || Ef = -12 || Flip
Ei = -12 || Ef = 0 || R: 0.059377 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.683310 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.901379 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.448831 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.148590 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.369790 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.536439 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.442990 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.702589 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.784083 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.884739 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.628762 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.509518 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.981345 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.863779 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.554428 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.760571 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.877156 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.206311 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.273064 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.755219 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.439721 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.866877 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.388324 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.613189 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.229945 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.082860 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.294501 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.208549 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.079534 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.547347 || C: 0.000006 || No flip
Ei = -12 || Ef = 0 || R: 0.995485 || C: 0.000006 || No flip
