Spins: 4, Iterations: 100, Beta: 10.000000

Ei = 0 || Ef = 4 || R: 0.404644 || C: 0.000000 || No flip
Ei = 0 || Ef = -12 || Flip
Ei = -12 || Ef = 0 || R: 0.909739 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.421661 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.882619 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.159166 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.011021 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.740983 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.483924 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.984139 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.887145 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.477011 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.832161 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.475216 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.259579 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.711258 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.223987 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.302348 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.329501 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.838059 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.538827 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.901646 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.657309 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.997431 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.920191 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.425564 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.824694 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.577409 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.438240 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.159618 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.871968 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.781670 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.852158 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.229681 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.808027 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.393779 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.064965 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.896702 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.938054 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.863508 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.875702 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.665580 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.191648 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.357251 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.295615 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.327706 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.387745 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.263537 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.193394 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.421562 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.560958 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.348274 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.110766 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.348197 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.139108 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.907064 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.500777 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.715205 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.815634 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.322312 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.589326 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.278831 || C: 0.000000 || No flip
Ei = -12 || Ef = 0 || R: 0.759394 || C: 0.000000 || No flip
